"lat","long","depth","mag","stations","order"
-20.42,181.62,562,4.8,41,1
-20.62,181.03,650,4.2,15,2
-26,184.1,42,5.4,43,3
-17.97,181.66,626,4.1,19,4
-20.42,181.96,649,4,11,5
-19.68,184.31,195,4,12,6
-11.7,166.1,82,4.8,43,7
-28.11,181.93,194,4.4,15,8
-28.74,181.74,211,4.7,35,9
-17.47,179.59,622,4.3,19,10
-21.44,180.69,583,4.4,13,11
-12.26,167,249,4.6,16,12
-18.54,182.11,554,4.4,19,13
-21,181.66,600,4.4,10,14
-20.7,169.92,139,6.1,94,15
-15.94,184.95,306,4.3,11,16
-13.64,165.96,50,6,83,17
-17.83,181.5,590,4.5,21,18
-23.5,179.78,570,4.4,13,19
-22.63,180.31,598,4.4,18,20
-20.84,181.16,576,4.5,17,21
-10.98,166.32,211,4.2,12,22
-23.3,180.16,512,4.4,18,23
-30.2,182,125,4.7,22,24
-19.66,180.28,431,5.4,57,25
-17.94,181.49,537,4,15,26
-14.72,167.51,155,4.6,18,27
-16.46,180.79,498,5.2,79,28
-20.97,181.47,582,4.5,25,29
-19.84,182.37,328,4.4,17,30
-22.58,179.24,553,4.6,21,31
-16.32,166.74,50,4.7,30,32
-15.55,185.05,292,4.8,42,33
-23.55,180.8,349,4,10,34
-16.3,186,48,4.5,10,35
-25.82,179.33,600,4.3,13,36
-18.73,169.23,206,4.5,17,37
-17.64,181.28,574,4.6,17,38
-17.66,181.4,585,4.1,17,39
-18.82,169.33,230,4.4,11,40
-37.37,176.78,263,4.7,34,41
-15.31,186.1,96,4.6,32,42
-24.97,179.82,511,4.4,23,43
-15.49,186.04,94,4.3,26,44
-19.23,169.41,246,4.6,27,45
-30.1,182.3,56,4.9,34,46
-26.4,181.7,329,4.5,24,47
-11.77,166.32,70,4.4,18,48
-24.12,180.08,493,4.3,21,49
-18.97,185.25,129,5.1,73,50
-18.75,182.35,554,4.2,13,51
-19.26,184.42,223,4,15,52
-22.75,173.2,46,4.6,26,53
-21.37,180.67,593,4.3,13,54
-20.1,182.16,489,4.2,16,55
-19.85,182.13,562,4.4,31,56
-22.7,181,445,4.5,17,57
-22.06,180.6,584,4,11,58
-17.8,181.35,535,4.4,23,59
-24.2,179.2,530,4.3,12,60
-20.69,181.55,582,4.7,35,61
-21.16,182.4,260,4.1,12,62
-13.82,172.38,613,5,61,63
-11.49,166.22,84,4.6,32,64
-20.68,181.41,593,4.9,40,65
-17.1,184.93,286,4.7,25,66
-20.14,181.6,587,4.1,13,67
-21.96,179.62,627,5,45,68
-20.42,181.86,530,4.5,27,69
-15.46,187.81,40,5.5,91,70
-15.31,185.8,152,4,11,71
-19.86,184.35,201,4.5,30,72
-11.55,166.2,96,4.3,14,73
-23.74,179.99,506,5.2,75,74
-17.7,181.23,546,4.4,35,75
-23.54,180.04,564,4.3,15,76
-19.21,184.7,197,4.1,11,77
-12.11,167.06,265,4.5,23,78
-21.81,181.71,323,4.2,15,79
-28.98,181.11,304,5.3,60,80
-34.02,180.21,75,5.2,65,81
-23.84,180.99,367,4.5,27,82
-19.57,182.38,579,4.6,38,83
-20.12,183.4,284,4.3,15,84
-17.7,181.7,450,4,11,85
-19.66,184.31,170,4.3,15,86
-21.5,170.5,117,4.7,32,87
-23.64,179.96,538,4.5,26,88
-15.43,186.3,123,4.2,16,89
-15.41,186.44,69,4.3,42,90
-15.48,167.53,128,5.1,61,91
-13.36,167.06,236,4.7,22,92
-20.64,182.02,497,5.2,64,93
-19.72,169.71,271,4.2,14,94
-15.44,185.26,224,4.2,21,95
-19.73,182.4,375,4,18,96
-27.24,181.11,365,4.5,21,97
-18.16,183.41,306,5.2,54,98
-13.66,166.54,50,5.1,45,99
-24.57,179.92,484,4.7,33,100
-16.98,185.61,108,4.1,12,101
-26.2,178.41,583,4.6,25,102
-21.88,180.39,608,4.7,30,103
-33,181.6,72,4.7,22,104
-21.33,180.69,636,4.6,29,105
-19.44,183.5,293,4.2,15,106
-34.89,180.6,42,4.4,25,107
-20.24,169.49,100,4.6,22,108
-22.55,185.9,42,5.7,76,109
-36.95,177.81,146,5,35,110
-15.75,185.23,280,4.5,28,111
-16.85,182.31,388,4.2,14,112
-19.06,182.45,477,4,16,113
-26.11,178.3,617,4.8,39,114
-26.2,178.35,606,4.4,21,115
-26.13,178.31,609,4.2,25,116
-13.66,172.23,46,5.3,67,117
-13.47,172.29,64,4.7,14,118
-14.6,167.4,178,4.8,52,119
-18.96,169.48,248,4.2,13,120
-14.65,166.97,82,4.8,28,121
-19.9,178.9,81,4.3,11,122
-22.05,180.4,606,4.7,27,123
-19.22,182.43,571,4.5,23,124
-31.24,180.6,328,4.4,18,125
-17.93,167.89,49,5.1,43,126
-19.3,183.84,517,4.2,21,127
-26.53,178.57,600,5,69,128
-27.72,181.7,94,4.8,59,129
-19.19,183.51,307,4.3,19,130
-17.43,185.43,189,4.5,22,131
-17.05,181.22,527,4.2,24,132
-19.52,168.98,63,4.5,21,133
-23.71,180.3,510,4.6,30,134
-21.3,180.82,624,4.3,14,135
-16.24,168.02,53,4.7,12,136
-16.14,187.32,42,5.1,68,137
-23.95,182.8,199,4.6,14,138
-25.2,182.6,149,4.9,31,139
-18.84,184.16,210,4.2,17,140
-12.66,169.46,658,4.6,43,141
-20.65,181.4,582,4,14,142
-13.23,167.1,220,5,46,143
-29.91,181.43,205,4.4,34,144
-14.31,173.5,614,4.2,23,145
-20.1,184.4,186,4.2,10,146
-17.8,185.17,97,4.4,22,147
-21.27,173.49,48,4.9,42,148
-23.58,180.17,462,5.3,63,149
-17.9,181.5,573,4,19,150
-23.34,184.5,56,5.7,106,151
-15.56,167.62,127,6.4,122,152
-23.83,182.56,229,4.3,24,153
-11.8,165.8,112,4.2,20,154
-15.54,167.68,140,4.7,16,155
-20.65,181.32,597,4.7,39,156
-11.75,166.07,69,4.2,14,157
-24.81,180,452,4.3,19,158
-20.9,169.84,93,4.9,31,159
-11.34,166.24,103,4.6,30,160
-17.98,180.5,626,4.1,19,161
-24.34,179.52,504,4.8,34,162
-13.86,167.16,202,4.6,30,163
-35.56,180.2,42,4.6,32,164
-35.48,179.9,59,4.8,35,165
-34.2,179.43,40,5,37,166
-26,182.12,205,5.6,98,167
-19.89,183.84,244,5.3,73,168
-23.43,180,553,4.7,41,169
-18.89,169.42,239,4.5,27,170
-17.82,181.83,640,4.3,24,171
-25.68,180.34,434,4.6,41,172
-20.2,180.9,627,4.1,11,173
-15.2,184.68,99,4.1,14,174
-15.03,182.29,399,4.1,10,175
-32.22,180.2,216,5.7,90,176
-22.64,180.64,544,5,50,177
-17.42,185.16,206,4.5,22,178
-17.84,181.48,542,4.1,20,179
-15.02,184.24,339,4.6,27,180
-18.04,181.75,640,4.5,47,181
-24.6,183.5,67,4.3,25,182
-19.88,184.3,161,4.4,17,183
-20.3,183,375,4.2,15,184
-20.45,181.85,534,4.1,14,185
-17.67,187.09,45,4.9,62,186
-22.3,181.9,309,4.3,11,187
-19.85,181.85,576,4.9,54,188
-24.27,179.88,523,4.6,24,189
-15.85,185.13,290,4.6,29,190
-20.02,184.09,234,5.3,71,191
-18.56,169.31,223,4.7,35,192
-17.87,182,569,4.6,12,193
-24.08,179.5,605,4.1,21,194
-32.2,179.61,422,4.6,41,195
-20.36,181.19,637,4.2,23,196
-23.85,182.53,204,4.6,27,197
-24,182.75,175,4.5,14,198
-20.41,181.74,538,4.3,31,199
-17.72,180.3,595,5.2,74,200
-19.67,182.18,360,4.3,23,201
-17.7,182.2,445,4,12,202
-16.23,183.59,367,4.7,35,203
-26.72,183.35,190,4.5,36,204
-12.95,169.09,629,4.5,19,205
-21.97,182.32,261,4.3,13,206
-21.96,180.54,603,5.2,66,207
-20.32,181.69,508,4.5,14,208
-30.28,180.62,350,4.7,32,209
-20.2,182.3,533,4.2,11,210
